2021年深圳房价 57175元/㎡ 0.37%↑
2021年广州房价 33548元/㎡ 0.39%↑
2021年珠海房价 21522元/㎡ 0.87%↑
2021年东莞房价 18937元/㎡ 0.35%↑
2021年佛山房价 13731元/㎡ 1.39%↑
2021年中山房价 11382元/㎡ 1.83%↑
2021年顺德房价 10996元/㎡ 2.72%↑
2021年惠州房价 10522元/㎡ 2.05%↑
2021年汕头房价 9734元/㎡ 0.87%↑
2021年湛江房价 8746元/㎡ 3.99%↑
2021年清远房价 7320元/㎡ 0.73%↑
2021年茂名房价 7145元/㎡ 0.36%↑
2021年汕尾房价 7135元/㎡ 1.02%↑
2021年江门房价 7066元/㎡ 0.61%↑
2021年肇庆房价 6980元/㎡ 0.23%↑
2021年河源房价 6613元/㎡ 2.49%↑
2021年揭阳房价 6495元/㎡ 0.07%↓
2021年云浮房价 6216元/㎡ 0.81%↑
2021年潮州房价 6117元/㎡ 0.36%↓
2021年阳江房价 5913元/㎡ 1.97%↑
2021年台山房价 5909元/㎡ --
2021年梅州房价 5797元/㎡ 0.13%↑
2021年韶关房价 5714元/㎡ 1.03%↑
2021年阳春房价 5172元/㎡ 0.17%↑
